company_name,round_date
EnglishEdge,2016-09-19
vPhrase,2019-08-19
Verteil Technologies,2022-01-07
Easypolicy,2016-11-03
Arinna Lifesciences,2015-02-10
Timesaverz ,2015-08-19
Touchtalent,2015-09-30
Qarmatek,2021-12-28
UrbanTouch,2012-01-19
Luker,2019-03-11
Circle,
PokerDangal,2021-01-19
Mynvax,2021-07-07
Adansa Solutions,2022-04-06
Renee Cosmetics,2022-02-11
OpenHouse Realty,2015-11-19
MemeChat,2021-09-30
WeAreHolidays,2014-08-05
EroNKan,2019-02-21
Bharat Rohan,2022-01-27
Mobiquity,2011-03-30
SquarePlums,2017-12-01
Cube Highways,2017-01-01
Ujala Cygnus,2013-02-19
Enterprise Tiger,2019-10-21
Capitaworld,2018-07-16
Earth Rhythm,2022-04-22
GoJavas,2015-03-01
Chillr,2015-12-10
nCORE Games,2022-01-17
Everest Fleet,2022-01-29
Kyte,2021-10-06
Lucro,2020-03-13
emiBazaar,2011-10-01
Olive Theory,2013-05-30
Fourth Frontier,
DosaMatic,2018-09-27
Wishberry,2018-07-13
Onebanc,2020-04-09
Stay Vista,2020-03-05
Entrust Family Office,2018-12-18
Redcliffe Hygiene,2019-10-01
Saltside,2014-06-19
Minjar,2017-09-22
Flexmoney,2021-06-15
Greenvironment India,2019-10-14
HipBar,2018-06-25
Max Protein,2018-04-27
Yumlane,2018-01-23
Fedora Pharma,
YUHI STUDIO,None
Fastfilmz,2017-01-01
Qureka Lite,None
B.LAB,2013-06-06
The Education Alliance,-
Happydemics,2018-10-03
Bookeventz,2019-01-31
TradeLab,2014-10-28
Gadgetwood eServices,2016-09-22
Baby Gogo,2016-08-01
Prompt AMCS,2017-10-07
Frshly,2016-01-01
Formcept,2017-06-22
Healwell24,2021-02-04
Pilgrim Quality Solutions,2002-10-03
iTraveller,2015-02-16
California Burrito,2016-09-01
HealthSignz,2017-11-20
Ineda Systems,2013-04-26
VelvetCase,2016-06-28
Radiowalla,2012-01-31
EZMall,2018-07-01
Indiabulls Pharmaceuticals,
Nova IVI Fertility,2012-10-05
BeYouPlus,2019-10-07
Planet SuperHeroes,2019-04-12
Widex India,1995-10-06
Experion Technologies,None
Gynoveda,2021-06-17
ASAP bars,2018-11-02
DataTorrent,2013-06-26
Teewee Games,None
Shotang,2015-12-17
